가츠시,등심돈까스,10000,10,돈까스김치나베,11000,10,소바정식,12000,10,6,일식
아우내불백,고추장불백,9000,10,돼지불백,9000,10,낙지덮밥,9000,10,4,한식
죽순,딴딴면,9000,10,마라당면,18000,10,꿔바로우,18000,10,4,중식
용한식당,호순이,8000,10,호그리,8000,10,제그리,8000,3,7,한식
다운타우너,베이컨치즈버거,8300,10,치즈버거,7300,10,아보카도버거,9800,10,1,양식
디어리스트,살치살스테이크,38000,10,바다파스타,17000,10,통베이컨구이,13000,10,5,양식
콰이찬,삼선짬뽕,12000,10,유니짜장,7000,10,소고기짬뽕,13000,10,3,중식
고등애,고등어조림,10000,10,명태조림,10000,10,알탕,10000,10,8,한식
하면옥,냉면,10000,10,비빔냉면,10000,10,거홍면,9000,10,5,한식
도원,짜장면,6000,10,짬뽕,7000,10,탕수육,15000,10,1,중식
카타코토,시금치새우카레,10000,10,토마토카레,12000,10,모야시카레,13000,10,5,일식
여우골,특선초밥,17000,10,여우초밥,20000,10,모듬초밥,10000,10,5,일식
